FacilityName,BCR,AnnualProduction,ConstructionCost,DesignHead,Y,X1,X2,X3
Anchor Dam ,0.02,126,5656.5,60,-3.912023005,4.836281907,8.640560605,4.094344562
Angostura Dam ,0.9,3218,3179.2,119,-0.105360516,8.076515328,8.064384872,4.779123493
Barretts Diversion Dam ,0.35,546,1391.4,15,-1.049822124,6.302618976,7.238065713,2.708050201
Belle Fourche Dam ,0.49,1319,2376.3,50,-0.713349888,7.184629153,7.773299935,3.912023005
Bonny Dam ,0.15,238,1476.8,70,-1.897119985,5.472270674,7.297632864,4.248495242
Bretch Diversion Canal ,0.12,111,712.3,8,-2.120263536,4.709530201,6.568499171,2.079441542
Bull Lake Dam ,0.41,2302,5327.8,50,-0.891598119,7.741533589,8.580693674,3.912023005
Carter Lake Dam No. 1 ,0.56,2266,3642.7,142,-0.579818495,7.725771442,8.200480444,4.955827058
Choke Canyon Dam ,0.69,1199,1506,71,-0.371063681,7.089243155,7.317212408,4.262679877
Clark Canyon Dam ,1.52,13689,7923.7,88,0.418710335,9.52434787,8.977613547,4.477336814
Corbett Diversion Dam ,0.59,2846,4782.3,12,-0.527632742,7.953669779,8.472676881,2.48490665
Deerfield Dam ,0.43,694,1392.4,107,-0.84397007,6.542471961,7.238784156,4.672828834
Dickinson Dam ,0.07,31,229.3,27,-2.659260037,3.433987204,5.43503119,3.295836866
Dodson Diversion Dam ,0.4,566,1106.9,26,-0.916290732,6.338594078,7.009318594,3.258096538
East Portal Diversion Dam ,0.96,1799,1553.3,10,-0.040821995,7.494986234,7.348136979,2.302585093
Enders Dam ,0.22,762,3492.3,62,-1.514127733,6.635946556,8.158315824,4.127134385
Fort Shaw Diversion Dam ,0.26,1111,4029.4,9,-1.347073648,7.01301579,8.30137276,2.197224577
Foss Dam ,0.14,242,1646.7,35,-1.966112856,5.488937726,7.406528564,3.555348061
Fresno Dam ,0.88,6268,6013.9,47,-0.127833372,8.743212603,8.701828736,3.850147602
Gibson Dam ,1.32,30774,19928,140,0.277631737,10.33442546,9.899881057,4.941642423
Glen Elder Dam ,0.81,3713,4260.6,69,-0.210721031,8.219595454,8.357165274,4.234106505
Granby Dam ,1.16,2854,2144.1,202,0.148420005,7.956476798,7.670475163,5.308267697
Gray Reef Dam ,1.58,13059,8159.3,22,0.457424847,9.47723283,9.00691366,3.091042453
Greenfield Project - Greenfield Main Canal Drop ,0.37,830,1848.6,38,-0.994252273,6.721425701,7.522183875,3.63758616
Heart Butte Dam ,0.64,1178,1562.5,58,-0.446287103,7.071573364,7.354042382,4.060443011
Helena Valley Dam ,0.1,152,1069.4,10,-2.302585093,5.023880521,6.974853023,2.302585093
Helena Valley Pumping Plant ,1.38,9608,5568.1,140,0.322083499,9.170351364,8.624809162,4.941642423
Horsetooth Dam ,0.34,847,2202.8,119,-1.078809661,6.741700695,7.697484557,4.779123493
Huntley Diversion Dam ,1.86,17430,8361,8,0.620576488,9.765948139,9.031333316,2.079441542
James Diversion Dam ,0.24,825,3357.8,5,-1.427116356,6.715383386,8.119041277,1.609437912
Jamestown Dam ,0.25,338,1166.5,31,-1.386294361,5.823045895,7.061763091,3.433987204
Johnson Project - Greenfield Main Canal Drop ,0.21,525,2038.9,46,-1.560647748,6.263398263,7.620165726,3.828641396
Kirwin Dam ,0.13,466,3578.9,69,-2.040220829,6.144185634,8.18281077,4.234106505
Lake Alice No. 2 Dam ,0.04,50,1254.1,3,-3.218875825,3.912023005,7.134173463,1.098612289
Lake Sherburne Dam ,0.24,1502,5934.4,45,-1.427116356,7.314552832,8.688521207,3.80666249
Medicine Creek Dam ,0.43,1001,2103.6,66,-0.84397007,6.908754779,7.651405442,4.189654742
Merritt Dam ,0.68,8438,12641.1,113,-0.385662481,9.040500593,9.444708689,4.727387819
Nelson Dikes DA ,0.07,116,1479.3,17,-2.659260037,4.753590191,7.299324282,2.833213344
Norton Dam ,0.05,24,232,49,-2.995732274,3.17805383,5.446737372,3.891820298
Olympus Dam ,0.82,1549,1552.4,42,-0.198450939,7.34536484,7.347557399,3.737669618
Pactola Dam ,1.07,2725,2207.5,154,0.067658648,7.910223707,7.699615932,5.036952602
Pathfinder Dam ,1.23,5508,4476.4,135,0.207014169,8.61395686,8.406574431,4.905274778
Pishkun Dike - No. 4 ,0.23,1399,5574,22,-1.46967597,7.243512975,8.625868208,3.091042453
Pueblo Dam ,2.34,55620,22193.9,183,0.850150929,10.92629813,10.00757276,5.209486153
Red Willow Dam ,0.12,148,780.7,68,-2.120263536,4.997212274,6.660190953,4.219507705
Saint Mary Diversion Dam ,0.33,720,1833.7,5,-1.108662625,6.579251212,7.514091063,1.609437912
Shadehill Dam ,0.37,1536,4128.1,64,-0.994252273,7.336936914,8.325572532,4.158883083
Shadow Mountain Dam ,0.46,777,1471.5,37,-0.776528789,6.65544035,7.294037568,3.610917913
St. Mary Canal - Drop 1 ,0.56,4838,7901.8,36,-0.579818495,8.484256691,8.974845861,3.583518938
St. Mary Canal - Drop 2 ,0.5,3887,7141,29,-0.693147181,8.265392931,8.873608102,3.36729583
St. Mary Canal - Drop 3 ,0.47,3538,6832.5,26,-0.755022584,8.171316875,8.829445918,3.258096538
St. Mary Canal - Drop 4 ,0.82,8919,9599.7,66,-0.198450939,9.095939112,9.169487127,4.189654742
St. Mary Canal - Drop 5 ,0.75,7586,9154.5,57,-0.287682072,8.934059722,9.122000841,4.043051268
Sun River Diversion Dam ,0.65,8645,12611.4,45,-0.430782916,9.064736398,9.442356446,3.80666249
Trenton Dam ,0.24,570,2180.7,55,-1.427116356,6.345636361,7.687401205,4.007333185
Twin Buttes Dam ,2.61,97457,33654.2,100,0.959350221,11.48716653,10.42389314,4.605170186
Twin Lakes Dam (USBR) ,1.24,5648,4192.7,46,0.21511138,8.639056779,8.341100197,3.828641396
Vandalia Diversion Dam ,0.87,1907,1779.4,32,-0.139262067,7.553286606,7.484031508,3.465735903
Virginia Smith Dam ,0.88,9799,11467.6,72,-0.127833372,9.190035619,9.347280947,4.276666119
Webster Dam ,0.06,164,2694.5,72,-2.813410717,5.099866428,7.898967937,4.276666119
Whalen Diversion Dam ,0.07,53,549.3,11,-2.659260037,3.970291914,6.30864474,2.397895273
Willow Creek Dam ,0.29,863,1239.9,90,-1.237874356,6.760414691,7.12278601,4.49980967
